keys,en,hu
GAME_TITLE,Learn Godot!,Tanuld meg a Godót!
BUTTON_START_GAME,Start Game,Játék indítása
BUTTON_OPTIONS,Options,Beállítások
BUTTON_QUIT,Quit,Kilépés
TOOLTIP_START_GAME,Start the game,Játék indítása
TOOLTIP_OPTIONS,Change the options,Beállítások módosítása
TOOLTIP_QUIT,Exit the game,Kilépés a játékból
OPTIONS_TITLE,Options,Beállítások
LABEL_RESOLUTION,Resolution,Felbontás
RESOLUTION_1920X1080,1920 x 1080 (Full HD),1920 x 1080 (Full HD)
RESOLUTION_1280X720,1280 x 720 (HD),1280 x 720 (HD)
RESOLUTION_1600X900,1600 x 900 (HD+),1600 x 900 (HD+)
RESOLUTION_1366X768,1366 x 768,1366 x 768
RESOLUTION_1024X768,1024 x 768,1024 x 768
BUTTON_FULLSCREEN,Fullscreen,Teljes képernyő
BUTTON_BACK_TO_MENU,Back to Menu,Vissza a menübe
BUTTON_BACK_TO_MAIN_MENU,Back to main menu,Vissza a főmenübe
MESSAGE_RESOLUTION_CHANGED,Changing resolution to %dx%d,Felbontás váltása: %dx%d
MESSAGE_FULLSCREEN_ENABLED,Fullscreen enabled,Teljes képernyő bekapcsolva
MESSAGE_FULLSCREEN_DISABLED,Fullscreen disabled,Teljes képernyő kikapcsolva
MESSAGE_STARTING_GAME,Starting the game!,Játék indítása!
LABEL_LANGUAGE,Language,Nyelv
LANGUAGE_ENGLISH,English,Angol
LANGUAGE_HUNGARIAN,Hungarian,Magyar
